aX,aY,aZ,gX,gY,gZ
0.262,0.381,-0.824,-22.522,-1.038,-3.296
0.233,0.352,-0.849,-29.114,3.967,-5.249
0.203,0.337,-0.857,-37.781,8.362,-7.324
0.167,0.335,-0.833,-46.021,10.986,-6.775
0.119,0.344,-0.794,-51.697,11.047,-3.235
0.058,0.335,-0.786,-56.458,10.254,3.784
0.018,0.304,-0.806,-63.171,9.644,11.841
0.011,0.272,-0.804,-72.327,10.681,18.372
0.012,0.229,-0.787,-80.322,16.663,20.630
0.027,0.176,-0.791,-88.989,25.452,19.775
0.054,0.138,-0.789,-100.891,33.752,16.235
0.078,0.117,-0.758,-113.159,43.518,10.803
0.096,0.099,-0.726,-124.451,54.199,5.188
0.080,0.089,-0.695,-136.780,62.622,0.854
0.019,0.110,-0.630,-149.292,61.829,5.920
-0.023,0.130,-0.547,-157.410,53.528,22.888
0.011,0.146,-0.483,-166.138,43.945,41.077
0.083,0.176,-0.407,-178.528,42.603,47.363
0.155,0.187,-0.346,-187.622,53.528,41.443
0.241,0.205,-0.312,-198.059,71.838,26.489
0.290,0.245,-0.232,-208.496,95.886,3.113
0.272,0.282,-0.161,-211.243,120.300,-16.357
0.201,0.334,-0.110,-217.346,122.986,-17.029
0.119,0.388,-0.047,-218.384,106.018,7.263
0.129,0.397,-0.032,-221.313,84.595,41.992
0.279,0.310,-0.011,-234.070,66.650,60.852
0.476,0.224,0.024,-253.174,51.453,54.138
0.556,0.256,0.086,-276.978,53.528,29.541
0.520,0.336,0.213,-289.490,85.449,2.502
0.468,0.432,0.378,-284.912,117.615,-20.630
0.422,0.521,0.579,-267.273,132.874,-28.015
0.423,0.582,0.734,-243.286,124.573,-9.094
0.635,0.556,0.858,-222.168,109.619,3.357
0.903,0.562,1.048,-229.431,118.286,-33.203
0.902,0.697,1.250,-242.310,154.175,-92.163
0.722,0.819,1.342,-244.507,188.171,-131.836
0.524,0.962,1.463,-243.164,196.045,-145.569
0.358,1.085,1.660,-207.397,176.514,-131.348
0.245,1.101,1.631,-156.555,134.949,-86.304
0.205,1.002,1.450,-128.540,71.594,-32.410
0.250,0.868,1.352,-119.568,2.930,9.644
0.289,0.827,1.308,-118.530,-45.349,31.189
0.306,0.836,1.318,-119.690,-46.509,32.715
0.344,0.862,1.405,-118.835,-7.874,11.841
0.347,0.913,1.486,-104.553,38.513,-18.250
0.297,0.959,1.477,-82.642,66.101,-33.508
0.244,0.973,1.424,-61.646,65.491,-25.818
0.245,0.929,1.385,-42.114,46.143,-8.240
0.266,0.880,1.344,-27.710,20.874,4.211
0.254,0.846,1.280,-18.311,0.427,14.648
0.244,0.810,1.209,-15.076,-13.123,26.489
0.279,0.785,1.174,-14.587,-21.484,35.095
0.341,0.773,1.185,-10.132,-17.517,28.625
0.364,0.774,1.182,-2.258,0.854,11.230
0.343,0.775,1.131,5.798,17.212,-0.488
0.314,0.762,1.062,11.414,20.752,-2.319
0.302,0.743,0.996,15.930,14.709,1.831
0.309,0.718,0.929,19.287,6.287,4.883
0.309,0.695,0.863,20.325,2.197,4.517
0.292,0.680,0.807,19.043,2.319,3.723
0.270,0.665,0.769,17.517,1.465,5.005
0.251,0.650,0.749,17.395,-1.770,8.972
0.246,0.637,0.732,18.066,-5.249,14.709
0.270,0.611,0.718,18.127,-8.423,18.127
0.294,0.582,0.704,17.883,-7.935,13.794
0.290,0.575,0.680,16.663,-3.296,6.958
0.274,0.575,0.661,14.343,0.732,3.418

0.335,1.018,1.420,35.889,5.859,-20.630
0.349,1.097,1.562,51.025,5.493,-21.851
0.361,1.167,1.674,70.374,8.484,-24.841
0.367,1.227,1.764,87.524,13.550,-29.724
0.344,1.277,1.804,108.337,16.602,-31.677
0.312,1.287,1.743,132.874,11.292,-25.330
0.294,1.254,1.617,152.100,-1.709,-13.306
0.296,1.208,1.500,165.466,-15.564,-2.319
0.309,1.173,1.436,173.950,-22.278,1.648
0.318,1.139,1.378,188.416,-23.437,1.465
0.337,1.087,1.288,205.078,-23.926,0.244
0.350,1.030,1.206,215.271,-20.325,-4.272
0.332,0.965,1.121,229.492,-16.357,-7.446
0.307,0.890,1.022,240.417,-19.592,-4.211
0.268,0.823,0.941,247.192,-30.151,4.028
0.218,0.760,0.868,255.188,-44.434,18.311
0.176,0.700,0.802,259.949,-59.509,35.889
0.154,0.625,0.739,266.785,-73.242,53.833
0.169,0.547,0.669,267.883,-87.280,65.552
0.177,0.498,0.614,264.832,-99.854,69.885
0.158,0.460,0.565,265.503,-104.187,69.885
0.137,0.415,0.497,264.709,-102.478,67.566
0.114,0.378,0.420,262.390,-104.492,67.261
0.093,0.341,0.349,261.108,-109.375,70.129
0.084,0.294,0.276,264.954,-106.812,69.031
0.080,0.234,0.184,266.296,-94.910,59.021
0.068,0.167,0.063,263.428,-82.092,48.157
0.067,0.091,-0.070,256.409,-74.219,40.466
0.089,0.016,-0.188,242.920,-70.679,36.804
0.118,-0.042,-0.301,230.408,-72.266,36.621
0.149,-0.097,-0.414,217.468,-74.402,35.950
0.167,-0.139,-0.525,204.102,-74.097,34.485
0.149,-0.181,-0.658,192.566,-75.317,35.278
0.115,-0.239,-0.805,178.101,-79.895,40.283
0.097,-0.289,-0.945,159.241,-87.524,47.974
0.090,-0.312,-1.065,139.893,-91.919,52.979
0.098,-0.318,-1.154,119.873,-86.853,51.453
0.118,-0.294,-1.205,99.060,-75.684,40.710
0.113,-0.240,-1.232,79.041,-63.049,25.452
0.083,-0.164,-1.248,57.190,-52.002,14.771
0.049,-0.062,-1.220,33.752,-47.119,11.963
0.031,0.055,-1.133,13.733,-45.898,14.832
0.030,0.181,-1.020,-0.549,-43.762,17.639
0.036,0.298,-0.917,-8.789,-36.804,18.188
0.055,0.399,-0.844,-14.587,-27.039,16.785
0.085,0.480,-0.788,-21.606,-20.325,15.076
0.122,0.540,-0.736,-28.442,-16.663,13.000
0.154,0.589,-0.686,-33.813,-13.733,10.315
0.185,0.621,-0.627,-34.912,-8.972,7.263
0.216,0.638,-0.583,-30.029,-2.625,4.028
0.231,0.641,-0.582,-24.658,2.930,1.648
0.232,0.630,-0.602,-22.034,5.005,3.235
0.230,0.616,-0.615,-21.851,3.967,6.836
0.226,0.595,-0.630,-22.278,3.418,8.789
0.220,0.563,-0.662,-24.048,4.333,8.362
0.209,0.521,-0.709,-27.527,7.263,5.981
0.195,0.482,-0.742,-32.227,12.329,1.221
0.163,0.448,-0.748,-35.583,18.555,-4.272
0.092,0.415,-0.765,-37.537,23.254,-5.615
0.025,0.391,-0.805,-40.955,25.391,-0.061
0.009,0.378,-0.806,-47.363,27.527,7.935
0.039,0.363,-0.773,-53.650,31.250,12.268
0.100,0.343,-0.755,-59.570,36.560,11.047
0.162,0.336,-0.734,-68.481,43.701,3.601
0.162,0.314,-0.715,-75.195,51.819,-4.700
0.119,0.283,-0.741,-83.984,56.946,-6.531
0.068,0.264,-0.732,-98.816,52.612,0.671
0.034,0.251,-0.673,-108.215,45.959,13.672
0.070,0.241,-0.637,-115.417,43.823,23.987
0.135,0.232,-0.595,-124.756,47.791,24.109
0.168,0.233,-0.549,-130.371,57.861,16.541
0.177,0.252,-0.516,-138.977,68.359,9.888
0.161,0.271,-0.462,-148.682,71.960,9.155
0.107,0.267,-0.413,-155.884,65.918,18.005
0.019,0.216,-0.432,-162.048,55.908,36.987
-0.058,0.135,-0.496,-170.837,48.523,60.242
-0.089,0.074,-0.507,-182.007,54.443,72.571
-0.041,0.020,-0.452,-187.561,78.552,68.237
0.139,-0.022,-0.389,-192.322,114.319,45.227
0.370,-0.004,-0.273,-211.548,153.442,-1.282
0.475,0.090,-0.058,-240.723,173.889,-43.762
0.438,0.248,0.189,-258.179,172.058,-57.495
0.367,0.396,0.384,-261.353,145.996,-41.016
0.324,0.493,0.463,-253.113,110.229,-1.892
0.330,0.563,0.506,-242.554,79.773,39.307
0.420,0.600,0.559,-221.863,76.416,66.101
0.654,0.587,0.615,-200.928,96.252,48.401
0.873,0.566,0.683,-197.815,134.399,-9.155
0.919,0.580,0.695,-203.369,174.622,-72.815
0.856,0.600,0.714,-225.708,201.660,-121.338
0.696,0.680,0.893,-254.395,198.181,-145.996
0.504,0.857,1.184,-248.352,167.236,-134.766
0.374,1.029,1.387,-211.365,129.700,-99.487
0.290,1.097,1.414,-166.016,97.229,-57.251
0.255,1.062,1.308,-125.671,66.162,-12.634
0.353,0.932,1.191,-100.037,40.771,13.489
0.523,0.795,1.147,-102.600,41.565,-5.005
0.586,0.782,1.214,-127.808,67.932,-57.800
0.493,0.890,1.394,-150.513,98.816,-106.506
0.334,1.058,1.584,-148.437,117.981,-128.418
0.186,1.204,1.731,-123.962,115.723,-122.742
0.069,1.280,1.758,-82.947,90.698,-88.989
-0.001,1.257,1.608,-45.532,45.532,-33.752
-0.028,1.147,1.385,-24.963,-7.935,26.428
0.009,1.005,1.188,-17.334,-52.856,74.280
0.122,0.863,1.046,-19.836,-76.294,93.628
0.239,0.778,0.959,-26.917,-74.158,83.191
0.302,0.760,0.921,-31.372,-46.326,52.979
0.319,0.758,0.918,-31.799,-5.493,16.846
0.300,0.764,0.908,-28.748,24.475,-9.338
0.261,0.772,0.893,-25.085,32.776,-17.029
0.228,0.774,0.883,-18.921,25.452,-8.118
0.224,0.759,0.858,-11.536,9.521,8.301
0.243,0.722,0.817,-7.263,-8.667,24.414
0.261,0.681,0.781,-6.409,-21.545,34.729
0.292,0.644,0.765,-7.141,-25.208,37.720
0.349,0.609,0.777,-8.545,-19.287,29.480
0.390,0.596,0.806,-11.719,-5.310,10.681
0.381,0.617,0.829,-12.329,8.301,-5.981

0.252,1.051,1.276,96.924,1.770,-8.423
0.233,1.075,1.273,109.924,-1.770,-4.028
0.249,1.079,1.248,118.164,-7.690,1.526
0.259,1.092,1.234,122.681,-12.878,2.380
0.251,1.104,1.203,131.653,-15.747,4.517
0.257,1.099,1.169,138.367,-18.433,6.470
0.257,1.098,1.146,144.531,-22.339,7.385
0.262,1.094,1.126,154.053,-27.832,11.230
0.279,1.094,1.124,162.109,-30.823,11.841
0.269,1.092,1.118,174.744,-31.250,12.695
0.262,1.067,1.074,186.646,-35.522,18.555
0.246,1.040,1.029,193.420,-42.053,26.611
0.234,0.999,0.969,206.787,-45.776,37.781
0.282,0.934,0.892,214.966,-46.936,41.382
0.287,0.905,0.863,220.764,-39.978,33.142
0.229,0.888,0.834,238.831,-27.283,29.968
0.184,0.840,0.790,256.287,-22.034,35.400
0.140,0.769,0.747,269.104,-30.579,50.476
0.124,0.709,0.673,274.292,-53.589,73.669
0.137,0.686,0.606,273.804,-72.937,89.539
0.144,0.637,0.527,276.062,-72.205,91.125
0.152,0.532,0.377,278.076,-63.965,85.693
0.136,0.424,0.238,270.874,-61.646,79.773
0.086,0.331,0.137,264.099,-65.063,83.923
0.094,0.256,0.037,253.113,-75.256,93.445
0.113,0.201,-0.035,236.572,-83.496,97.473
0.069,0.095,-0.156,228.149,-89.844,106.567
0.072,-0.077,-0.352,214.417,-102.844,121.765
0.105,-0.196,-0.513,193.176,-112.183,127.014
0.111,-0.255,-0.616,178.345,-104.004,119.141
0.138,-0.333,-0.727,166.748,-89.417,100.525
0.122,-0.381,-0.859,148.560,-81.299,83.679
0.087,-0.397,-0.975,129.456,-70.862,74.219
0.120,-0.387,-1.034,104.980,-63.538,65.430
0.153,-0.311,-1.019,81.970,-56.580,56.091
0.185,-0.214,-0.973,66.101,-45.166,48.096
0.243,-0.098,-0.921,51.575,-36.438,41.565
0.285,0.041,-0.857,38.757,-30.457,34.363
0.307,0.174,-0.797,28.320,-23.621,28.564
0.318,0.288,-0.748,20.447,-19.470,25.391
0.329,0.369,-0.723,14.709,-17.212,25.757
0.370,0.431,-0.704,7.629,-16.052,26.367
0.405,0.475,-0.672,2.258,-14.282,25.146
0.425,0.483,-0.659,-0.244,-11.780,23.193
0.431,0.473,-0.682,-2.563,-8.728,18.433
0.444,0.470,-0.707,-6.409,-6.287,13.794
0.478,0.498,-0.685,-11.414,-3.845,6.470
0.478,0.530,-0.659,-12.634,-1.282,-1.038
0.450,0.534,-0.667,-14.526,-3.967,-1.404
0.454,0.539,-0.644,-17.456,-8.850,2.380
0.478,0.559,-0.601,-15.076,-9.583,2.625
0.491,0.573,-0.604,-12.146,-6.836,0.305
0.499,0.580,-0.614,-12.634,-5.676,-1.526
0.497,0.579,-0.614,-12.024,-4.944,-2.563
0.518,0.572,-0.617,-12.329,-4.028,-4.395
0.540,0.568,-0.619,-13.184,-2.380,-9.949
0.529,0.559,-0.630,-14.404,-1.221,-14.465
0.505,0.552,-0.642,-16.296,-2.747,-14.832
0.472,0.546,-0.648,-18.677,-5.859,-11.963
0.440,0.521,-0.669,-19.409,-6.531,-8.057
0.426,0.480,-0.703,-21.667,-4.761,-7.141
0.406,0.443,-0.722,-24.109,-1.221,-9.521
0.379,0.410,-0.740,-25.452,4.150,-12.207
0.372,0.377,-0.768,-30.701,8.179,-15.198
0.359,0.348,-0.785,-38.452,11.169,-18.433
0.328,0.311,-0.805,-45.654,15.442,-20.447
0.277,0.267,-0.818,-54.138,16.113,-19.897
0.196,0.219,-0.832,-60.120,14.221,-12.207
0.118,0.156,-0.876,-69.458,9.521,2.380
0.062,0.094,-0.912,-83.923,3.662,17.761
0.027,0.044,-0.925,-101.501,1.038,30.029
0.011,0.004,-0.915,-122.620,1.038,38.086
0.027,-0.022,-0.870,-143.555,5.127,41.260
0.078,-0.033,-0.803,-163.147,15.503,36.072
0.132,0.001,-0.682,-179.687,31.311,21.606
0.163,0.063,-0.531,-186.707,50.415,2.441
0.162,0.127,-0.424,-190.125,67.810,-10.193
0.138,0.193,-0.332,-189.392,78.613,-13.062
0.145,0.213,-0.285,-188.171,84.412,-8.057
0.192,0.191,-0.299,-196.228,80.688,-2.258
0.249,0.173,-0.297,-210.388,82.703,-3.296
0.321,0.166,-0.260,-225.525,96.497,-15.686
0.360,0.181,-0.194,-241.333,116.089,-36.682
0.321,0.229,-0.091,-251.160,134.827,-53.772
0.238,0.296,0.038,-251.465,143.982,-57.251
0.152,0.369,0.202,-245.422,140.076,-42.419
0.160,0.367,0.314,-227.783,123.901,-11.963
0.348,0.291,0.309,-225.952,95.276,7.507
0.529,0.328,0.378,-252.197,72.876,-1.526
0.589,0.441,0.553,-269.409,91.309,-26.794
0.583,0.494,0.624,-274.170,133.301,-63.538
0.480,0.514,0.610,-282.532,176.758,-95.947
0.289,0.604,0.742,-292.053,198.730,-106.873
0.141,0.695,1.021,-272.522,172.302,-78.796
0.187,0.653,1.194,-235.657,91.125,-14.343
0.335,0.558,1.272,-218.323,-25.879,52.185
0.441,0.569,1.411,-212.830,-107.910,101.807
0.538,0.683,1.606,-198.181,-103.455,111.511
0.682,0.775,1.759,-170.654,-19.958,73.486
0.814,0.832,1.847,-141.968,85.083,1.831
0.821,0.887,1.895,-111.389,163.574,-68.420
0.701,0.940,1.859,-83.740,193.909,-103.943
0.548,0.974,1.765,-68.542,176.941,-102.173
0.420,0.988,1.671,-56.946,131.226,-74.219
0.350,0.969,1.570,-45.593,78.064,-36.987
0.338,0.920,1.464,-39.307,33.752,-4.211
0.363,0.872,1.405,-36.926,6.592,10.559
0.367,0.856,1.376,-31.067,0.610,6.836
0.344,0.849,1.313,-19.348,10.010,-2.808
0.344,0.834,1.235,-11.230,21.729,-12.878
0.336,0.839,1.186,-5.371,33.447,-24.963
0.300,0.846,1.121,5.676,43.091,-31.372
0.279,0.810,1.015,14.709,43.213,-28.687
0.282,0.756,0.916,15.625,32.288,-20.996
0.280,0.729,0.860,11.902,16.602,-12.085
0.267,0.716,0.837,8.728,5.920,-2.075
0.289,0.690,0.826,5.066,0.244,4.089
0.325,0.670,0.838,1.648,-3.296,1.831
0.321,0.681,0.855,3.113,-3.845,-2.136

0.238,1.019,1.344,55.481,-22.522,10.193
0.238,1.047,1.347,66.223,-28.320,19.043
0.254,1.062,1.338,76.965,-33.264,25.635
0.271,1.073,1.317,88.074,-34.851,26.489
0.291,1.077,1.285,98.877,-32.776,23.621
0.315,1.088,1.274,106.873,-28.687,17.395
0.332,1.105,1.279,116.943,-24.963,11.108
0.347,1.120,1.279,128.052,-21.912,7.385
0.367,1.132,1.282,138.977,-19.836,4.333
0.385,1.133,1.286,151.672,-17.639,0.732
0.393,1.123,1.274,165.527,-15.625,-2.136
0.389,1.109,1.250,178.223,-14.709,-1.953
0.378,1.095,1.221,192.261,-14.465,0.793
0.381,1.066,1.185,206.482,-12.329,2.197
0.385,1.022,1.144,218.140,-8.911,0.122
0.361,0.965,1.077,229.736,-9.705,0.488
0.316,0.901,0.981,236.084,-17.029,7.141
0.247,0.843,0.876,239.258,-29.785,22.034
0.206,0.786,0.804,241.150,-41.504,42.114
0.215,0.724,0.767,242.554,-50.781,57.983
0.241,0.645,0.711,250.183,-55.847,66.833
0.263,0.557,0.625,253.784,-57.495,68.481
0.262,0.468,0.527,256.287,-59.082,67.627
0.260,0.382,0.422,255.615,-62.988,66.101
0.249,0.332,0.337,250.122,-70.801,65.063
0.217,0.294,0.280,247.314,-75.012,66.528
0.205,0.222,0.198,248.535,-73.303,65.979
0.221,0.123,0.074,245.483,-71.045,60.608
0.223,0.040,-0.058,234.985,-73.669,57.495
0.223,-0.026,-0.190,224.426,-78.125,58.411
0.245,-0.089,-0.317,208.923,-81.482,59.021
0.241,-0.153,-0.459,193.909,-89.539,60.852
0.207,-0.250,-0.646,178.223,-100.586,68.726
0.186,-0.370,-0.854,157.776,-109.497,74.951
0.163,-0.462,-1.043,135.437,-111.267,74.402
0.130,-0.501,-1.193,110.352,-106.262,70.862
0.095,-0.486,-1.286,85.754,-98.999,62.988
0.051,-0.433,-1.332,62.439,-85.205,50.293
0.016,-0.350,-1.349,39.429,-68.298,38.330
0.012,-0.217,-1.295,13.489,-52.429,27.710
0.009,-0.046,-1.151,-8.484,-39.185,18.066
-0.001,0.137,-1.000,-24.414,-29.175,13.245
0.011,0.320,-0.864,-38.940,-21.240,13.611
0.050,0.493,-0.700,-50.354,-16.541,16.174
0.119,0.651,-0.533,-53.711,-13.794,18.127
0.218,0.790,-0.394,-51.270,-11.047,16.968
0.305,0.899,-0.301,-44.067,-7.080,12.573
0.361,0.941,-0.276,-33.264,-4.028,9.399
0.400,0.924,-0.316,-23.315,-2.075,8.911
0.433,0.876,-0.377,-15.991,-1.221,9.094
0.475,0.816,-0.428,-11.047,-0.732,7.446
0.501,0.760,-0.465,-8.423,-0.549,3.967
0.504,0.697,-0.510,-5.432,0.061,1.587
0.513,0.635,-0.563,-5.066,0.183,-0.732
0.513,0.596,-0.580,-5.859,0.977,-5.066
0.482,0.578,-0.584,-5.310,1.526,-8.484
0.438,0.566,-0.603,-6.348,-0.305,-7.629
0.405,0.550,-0.624,-8.423,-2.502,-4.700
0.380,0.532,-0.647,-11.658,-3.662,-2.625
0.361,0.508,-0.669,-15.869,-2.563,-3.418
0.339,0.476,-0.691,-20.264,2.258,-7.446
0.301,0.440,-0.718,-26.123,7.935,-12.024
0.251,0.395,-0.747,-33.203,11.597,-14.465
0.186,0.354,-0.768,-41.687,11.597,-14.282
0.104,0.319,-0.786,-51.025,11.414,-10.254
0.033,0.281,-0.801,-61.218,12.634,-2.991
-0.010,0.248,-0.799,-71.411,15.625,4.395
-0.026,0.219,-0.790,-81.848,21.667,8.728
-0.013,0.195,-0.777,-93.140,31.616,8.850
0.021,0.186,-0.738,-105.530,45.105,3.601
0.046,0.190,-0.672,-116.394,58.533,-4.517
0.040,0.211,-0.590,-126.099,65.247,-8.179
0.009,0.248,-0.517,-135.132,60.669,0.671
-0.012,0.274,-0.462,-143.738,50.354,21.423
0.008,0.276,-0.416,-150.757,41.260,44.373
0.073,0.264,-0.372,-156.799,37.231,59.082
0.152,0.257,-0.331,-163.879,39.612,62.317
0.227,0.263,-0.292,-172.729,48.645,58.411
0.318,0.276,-0.224,-182.495,63.477,46.326
0.396,0.307,-0.111,-188.904,81.665,24.902
0.423,0.352,0.000,-190.674,98.694,4.761
0.412,0.401,0.089,-194.153,101.868,-1.831
0.381,0.458,0.188,-197.083,84.290,10.559
0.394,0.495,0.282,-195.496,62.439,34.607
0.503,0.512,0.372,-195.312,43.274,52.124
0.623,0.548,0.458,-197.021,39.856,54.749
0.720,0.600,0.540,-194.946,49.133,38.940
0.764,0.679,0.661,-190.857,58.594,14.709
0.711,0.787,0.774,-175.476,70.435,1.892
0.673,0.845,0.820,-153.564,75.500,5.920
0.701,0.851,0.820,-135.681,70.862,15.808
0.724,0.847,0.795,-122.498,65.674,19.897
0.708,0.835,0.732,-110.657,66.650,19.653
0.701,0.797,0.650,-103.516,76.599,13.611
0.715,0.759,0.612,-106.812,92.773,-1.404
0.689,0.749,0.625,-107.849,110.352,-20.447
0.647,0.754,0.653,-108.215,125.244,-36.011
0.615,0.786,0.734,-110.107,130.188,-47.546
0.561,0.828,0.827,-102.234,135.315,-54.871
0.540,0.840,0.866,-92.285,139.954,-60.364
0.547,0.840,0.914,-88.318,142.883,-72.144
0.524,0.837,0.971,-81.848,149.109,-88.623
0.483,0.839,1.019,-84.351,138.062,-97.534
0.406,0.892,1.094,-89.661,102.234,-86.060
0.312,0.968,1.169,-84.595,70.435,-59.570
0.270,1.004,1.191,-72.021,52.124,-31.311
0.276,0.989,1.159,-57.739,39.490,-7.385
0.316,0.935,1.094,-44.922,32.410,7.629
0.368,0.866,1.035,-40.955,32.959,8.301
0.414,0.795,1.006,-45.410,35.034,-2.563
0.435,0.771,1.009,-55.786,27.466,-15.137
0.411,0.808,1.058,-65.369,17.578,-23.071
0.367,0.869,1.145,-63.843,12.512,-24.048
0.340,0.919,1.215,-47.302,10.498,-20.203
0.320,0.918,1.199,-24.963,8.667,-12.756
0.294,0.875,1.103,-10.742,1.587,-0.793
0.274,0.824,1.008,-5.615,-7.751,11.902
0.279,0.778,0.952,-4.028,-14.221,20.996
0.306,0.750,0.923,-4.639,-17.029,23.254

0.316,1.143,1.134,102.478,-1.404,-34.912
0.311,1.175,1.161,110.168,0.305,-36.987
0.297,1.199,1.203,120.667,5.432,-39.795
0.270,1.193,1.205,136.963,8.484,-38.635
0.247,1.164,1.147,151.489,5.859,-31.677
0.224,1.120,1.070,160.583,0.549,-23.254
0.207,1.060,0.985,168.762,-3.967,-13.123
0.224,1.001,0.924,171.692,-7.324,-7.080
0.236,0.970,0.902,174.255,-8.301,-7.751
0.222,0.953,0.872,181.274,-7.263,-9.399
0.208,0.920,0.831,189.331,-5.676,-10.071
0.196,0.869,0.785,197.510,-4.150,-11.353
0.190,0.813,0.716,205.017,-5.310,-11.902
0.164,0.778,0.651,206.055,-9.827,-11.292
0.107,0.747,0.593,210.754,-13.672,-3.906
0.079,0.698,0.532,214.355,-20.630,11.353
0.097,0.644,0.474,216.553,-31.921,27.222
0.147,0.590,0.411,216.980,-37.598,34.607
0.171,0.556,0.365,213.745,-38.391,31.738
0.143,0.539,0.318,216.125,-38.086,31.860
0.130,0.515,0.255,216.125,-41.504,38.574
0.142,0.496,0.217,212.585,-48.767,45.776
0.156,0.480,0.182,210.876,-57.007,51.636
0.176,0.414,0.085,214.417,-60.303,53.162
0.180,0.311,-0.074,210.510,-58.533,51.575
0.170,0.199,-0.236,203.735,-60.669,54.504
0.198,0.087,-0.370,197.266,-63.049,55.786
0.216,-0.002,-0.493,186.584,-61.768,51.270
0.176,-0.082,-0.637,178.955,-61.707,52.124
0.154,-0.166,-0.791,165.283,-66.284,58.716
0.144,-0.216,-0.921,144.287,-78.308,68.176
0.106,-0.230,-1.040,124.573,-92.957,82.458
0.095,-0.238,-1.133,102.661,-99.792,92.102
0.125,-0.211,-1.159,80.933,-95.093,87.585
0.133,-0.132,-1.129,62.439,-83.374,74.707
0.112,-0.020,-1.081,46.936,-68.359,61.340
0.095,0.096,-1.024,33.081,-53.223,49.988
0.101,0.212,-0.944,22.095,-39.551,40.588
0.122,0.335,-0.849,12.817,-29.358,33.447
0.137,0.450,-0.761,6.653,-21.484,28.809
0.150,0.537,-0.700,2.380,-14.709,28.076
0.190,0.601,-0.649,-0.854,-10.620,27.710
0.241,0.645,-0.603,-2.075,-5.493,22.949
0.269,0.676,-0.586,-2.441,-0.488,16.418
0.278,0.691,-0.588,-4.089,2.380,13.306
0.290,0.692,-0.588,-5.615,2.258,12.756
0.309,0.681,-0.594,-7.141,2.136,12.085
0.332,0.665,-0.605,-9.583,1.465,9.827
0.345,0.645,-0.618,-10.742,1.831,5.371
0.338,0.619,-0.638,-10.925,5.371,0.427
0.326,0.594,-0.659,-11.963,8.118,-2.686
0.317,0.576,-0.663,-13.428,8.850,-3.906
0.307,0.574,-0.663,-15.503,7.690,-3.601
0.299,0.573,-0.668,-18.494,5.737,-1.343
0.298,0.567,-0.674,-21.545,4.456,0.916
0.296,0.556,-0.677,-24.231,4.578,2.014
0.299,0.533,-0.687,-25.879,6.165,0.916
0.292,0.497,-0.716,-28.503,9.277,-2.502
0.262,0.446,-0.760,-32.593,13.428,-5.066
0.224,0.384,-0.805,-38.391,15.503,-4.517
0.195,0.326,-0.839,-46.387,14.771,-1.648
0.165,0.291,-0.848,-56.824,12.146,3.418
0.132,0.276,-0.831,-66.833,9.277,10.742
0.107,0.269,-0.809,-76.843,6.958,19.043
0.094,0.269,-0.785,-86.792,5.859,27.588
0.096,0.273,-0.746,-96.252,7.751,33.691
0.109,0.268,-0.707,-103.638,14.709,34.485
0.130,0.248,-0.687,-111.938,23.193,31.616
0.156,0.236,-0.640,-121.887,29.297,26.001
0.170,0.252,-0.570,-129.089,35.706,18.494
0.173,0.273,-0.521,-137.329,41.992,14.893
0.181,0.282,-0.465,-146.362,47.546,14.709
0.195,0.273,-0.403,-152.954,52.429,14.282
0.225,0.247,-0.371,-160.400,53.650,12.756
0.244,0.234,-0.349,-173.401,48.950,9.399
0.226,0.236,-0.302,-186.951,45.593,7.812
0.213,0.241,-0.226,-197.021,44.678,7.202
0.208,0.270,-0.118,-202.271,41.199,7.690
0.176,0.335,-0.014,-202.271,39.734,14.954
0.144,0.390,0.047,-198.914,40.955,30.457
0.154,0.419,0.092,-195.374,42.114,49.561
0.198,0.413,0.145,-189.026,51.697,62.866
0.285,0.358,0.163,-184.692,65.369,64.209
0.392,0.327,0.187,-191.406,66.101,53.711
0.445,0.356,0.278,-201.538,77.332,38.330
0.467,0.393,0.376,-205.688,96.680,18.677
0.464,0.444,0.469,-208.923,106.323,0.061
0.398,0.549,0.626,-206.909,105.591,-3.784
0.347,0.672,0.808,-193.176,104.675,11.902
0.398,0.724,0.928,-172.302,106.384,29.663
0.600,0.661,0.975,-158.325,110.657,24.414
0.734,0.643,0.991,-167.725,113.037,-8.240
0.684,0.693,1.031,-177.063,127.747,-40.894
0.650,0.748,1.128,-185.852,138.611,-66.406
0.604,0.878,1.358,-188.660,128.235,-80.200
0.508,1.044,1.582,-164.734,112.305,-67.810
0.445,1.121,1.608,-131.226,92.651,-38.635
0.418,1.094,1.519,-107.605,75.867,-11.047
0.450,1.013,1.410,-91.797,66.345,4.272
0.549,0.910,1.321,-89.905,57.434,-2.258
0.582,0.897,1.315,-96.252,52.856,-25.940
0.527,0.944,1.368,-94.055,58.044,-48.462
0.462,0.997,1.404,-87.708,56.396,-57.617
0.380,1.082,1.453,-75.256,43.579,-49.744
0.303,1.131,1.452,-50.171,27.771,-25.879
0.272,1.085,1.333,-29.846,6.287,6.348
0.287,1.003,1.200,-20.874,-15.442,33.386
0.338,0.942,1.120,-16.785,-26.306,42.603
0.386,0.904,1.068,-13.489,-20.264,32.349
0.410,0.885,1.028,-9.705,-3.418,11.658
0.397,0.874,0.990,-3.906,12.512,-7.324
0.356,0.857,0.929,2.625,18.372,-12.695
0.332,0.825,0.853,6.897,11.780,-5.310
